Genres,Danceability (0-1),Tempo (BPM),Popularity (0-100),Key,Mode
21st century classical,0.2841,91.351,6.6,E,Major
432hz,0.31199999999999994,118.90093333333333,41.2,B,Major
8-bit,0.6729999999999999,192.81599999999997,0.0,F,Major
a cappella,0.5161721621982125,105.50603098572763,39.08624783246632,G,Major
abstract,0.4736,142.4954,43.8,F,Major
abstract beats,0.669,117.28399999999999,62.0,Bb,Major
abstract hip hop,0.7252736374522089,107.5887732311018,21.050865608008465,Db,Major
abstract idm,0.174,67.56,46.0,C,Major
accordeon,0.4420000000000001,139.8195,35.25,D,Major
accordion,0.6255,112.7196875,20.9375,D,Major
acid house,0.70091,127.60202,32.735,Ab,Minor
acid jazz,0.6816851851851853,112.92003703703705,28.85185185185185,G,Minor
acid rock,0.4591240264995974,129.13527835123259,29.79191362307736,D,Major
acid techno,0.6758333333333333,131.0135,1.6666666666666667,G,Major
acid trance,0.545,135.381,40.0,G,Major
acousmatic,0.4041812409812409,98.76970338589979,5.658098845598847,F,Major
acoustic blues,0.6026744551316866,114.69287909793293,22.238190928721586,A,Major
acoustic chill,0.39299999999999996,128.181,23.0,Db,Major
acoustic guitar cover,0.397,168.18099999999995,5.0,E,Minor
acoustic pop,0.5528025231836704,121.12782439102348,46.74553708891674,D,Major
acoustic punk,0.5693958333333332,117.26434027777776,21.555555555555557,B,Major
acoustic rock,0.562047619047619,121.93550000000002,42.97619047619048,Ab,Major
action rock,0.5680000000000001,106.39883333333334,0.0,B,Major
adoracao,0.645,117.01299999999999,0.0,Bb,Minor
adoracion,0.5696428571428571,134.91449999999998,42.857142857142854,G,Major
adult standards,0.5043021630377027,114.21955077043756,30.154969115718274,G,Major
adventista,0.5323174603174604,113.6516507936508,27.063492063492063,Gb,Major
afghan pop,0.6089999999999999,111.3922,35.6,Db,Major
afghan traditional,0.4403333333333333,94.06966666666666,8.333333333333334,Db,Major
african gospel,0.6353333333333334,119.58,14.0,D,Major
african percussion,0.69825,132.281875,7.916666666666668,Ab,Major
african reggae,0.7485357142857142,114.7374642857143,45.42857142857143,G,Major
african rock,0.6715416666666668,116.94695833333333,42.66666666666667,Ab,Major
african-american classical,0.5426108133086875,119.139,40.87060998151571,F,Major
afrikaans,0.371,97.898,14.0,G,Major
afro dancehall,0.6366333333333334,124.99301666666665,26.58333333333333,Db,Major
afro house,0.7537999999999999,126.3624,26.0,Bb,Major
afro psych,0.5840000000000001,118.6075,32.5,D,Major
afro-funk,0.800125,114.04895833333336,26.66666666666667,C,Major
afrobeat,0.6240531063002043,115.62417247013045,38.898018929742776,C,Major
afrofuturism,0.6469474807185046,113.22402368619295,47.272618024495344,G,Major
afrofuturismo brasileiro,0.484,144.454,36.0,G,Minor
afropop,0.6260766673463062,117.18791208117315,32.59655602106132,G,Major
afroswing,0.7583333333333333,102.061,75.33333333333333,B,Minor
aggrotech,0.5674607142857142,130.78911220238095,6.213839285714287,C,Major
alabama indie,0.5468333333333333,113.29711111111112,43.77777777777778,G,Major
alabama metal,0.4065,110.375,49.5,Gb,Major
alabama rap,0.7000376670431019,116.44768047713157,56.568534726143426,B,Major
alaska indie,0.81,124.991,67.0,Gb,Major
albanian hip hop,0.7829999999999999,135.997,0.0,D,Minor
albanian pop,0.6829999999999999,127.96799999999999,46.0,Ab,Minor
alberta country,0.5781666666666667,116.74013333333332,47.68,G,Major
